skills
AI content
AI video
Chatbots
AI art
Copywriting
APIs
Finance
Agile
Architecture
Caffe
AWS
Azure
Data analysis
CX
A/B testing
Computer Science
Business Intelligence
DataOps
Cassandra
Helm
Big Data
Airflow
Biology
Engineering
Bayesian
Clustering
Data Analytics
API Development
Causal inference
Data management
Machine Learning
Amplitude
BERT
Excel
Business Analytics
BigQuery
Data Mining
Blockchain
Chemistry
Ansible
E-commerce
SAS
Data Studio
Banking
Linux
Data warehouse
Data visualization
Data pipelines
Athena
Classification
Angular
Deep Learning
Computer Vision
Matlab
Econometrics
Data governance
MongoDB
ANN
Databricks
Avro
Power BI
Consulting
ETL
Circuit Design
Docker
Data Warehousing
Autonomous Driving
3D Reconstruction
CI/CD
ASR
CAD
Economics
Testing
Industrial
Data quality
Genetics
Distributed Systems
Research
Biochemistry
Block
C++
SLAM
Clojure
Content creation
Data strategy
Open Source
Looker
Credit risk
CUDA
Arrow
D3
KPIs
AI strategy
Ripple
Anaconda
EMNLP
ChatGPT
Airtable
JavaScript
GitHub
Elasticsearch
AI governance
Anyword
Pictory
DALL-E
Prompt engineering
Git
NLP
Crypto
OOP
Bitbucket
FinTech
LLMs
Pipelines
Python
Security
CSV
Qlick
GCP
ELT
Privacy
Drones
GitLab
Spark
Hadoop
.NET
Consulting firm
DevOps
Ruby
PhD
Teaching
Sports industry
Tableau
Autoregressive models
Nonprofit
Conversational AI
Kubeflow
Market research
KNIME
NumPy
Dataflow
Linear algebra
Pandas
SQL
Prototyping
Bigtable
OKR
Dataproc
ICLR
JSON
Oracle
Mathematics
Cluster analysis
Jupyter
Healthcare technology
Julia
EDA
Postdoc
Marketmuse
GPT
Midjourney
Keras
Drug discovery
DynamoDB
HuggingFace
ELK
Perl
Feature engineering
PHP
Matplotlib
R
Lidar
PyTorch
Google Cloud
Azkaban
Kubernetes
Jira
Informatica
Kibana
GANs
Physics
Survey data
ML models
Unstructured data
GNSS
USD 115K - 180K *
Streaming
Django
Flink
Statistics
Kafka
Statistical modeling
Dagster
Flask
USD 69K - 128K *
SageMaker
HPC
LookML
ICML
EC2
QuickSight
Predictive modeling
MLFlow
FiveTran
RDBMS
Qlik
Drivers license
Generative modeling
UX
ECS
LangChain
MLOps
R&D
Scrum
Grafana
SharePoint
TensorFlow
Parquet
Golang
MySQL
NeurIPS
RapidMiner
Microservices
HDFS
Flex hours
PySpark
Diffusion models
Metabase
GPU
STEM
DB2
QlikView
Kanban
Competitive pay
XML
Neo4j
ML infrastructure
SSIS
Wordtune
Stable Diffusion
Trading Strategies
Robotics
cuDNN
Fortran
Snowflake
MS SQL
OpenCV
React
Human Machine Interaction
GraphQL
Scala
NoSQL
Scikit-learn
Node.js
Machine intelligence
ES6
VR
LightGBM
SDLC
HBase
Vue
HiveQL
MXNet
T-SQL
Kinesis
PostgreSQL
Model training
Matillion
USD 115K+ *
Periscope
Spotfire
Model design
Redshift
USD 69K+ *
MPP
Travel
Model deployment
Fraud risk
Elixir
Plotly
ISO 27001
Lambda
Rust
SPSS
Recommender systems
DDL
REST API
Parental leave
Terraform
GPT-3
OLAP
OpenAI
NLG
Teradata
Logstash
ITIL
Radar
Stata
Graphite
MariaDB
Superset
